[2024-11-08 10:15:26] WARNING: E_WARNING: rename(data\tmp\tmpCE14.tmp,data/cache/application/ormMetadata.php): Access is denied (code: 5)
[2024-11-08 10:15:29] WARNING: E_WARNING: rename(data\tmp\tmpDA72.tmp,data/cache/application/classmapControllers.php): Access is denied (code: 5)
[2024-11-08 10:18:05] WARNING: E_WARNING: file_put_contents(data/cache/application/slim-routes.php): Failed to open stream: No such file or directory
[2024-11-08 18:23:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:43] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:23:53] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:04] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:43] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:24:53] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:43] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:25:54] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:13] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:23] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:34] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:44] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:26:53] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:03] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:04] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:14] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:24] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:34] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:44] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:48] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:27:54] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:04] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:04] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:14] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:18] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:24] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
[2024-11-08 18:28:33] ERROR: (0) Uncaught Exception JsonException: "JSON syntax error in 'custom\Espo\Modules\ManagerOfStore\Resources\metadata\clientDefs/Category.json'." at C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php line 240 :: C:\MAMP\htdocs\EspoCRM-8.4.2\application\Espo\Core\Utils\File\Unifier.php(240)
